159,بستم مرسيدس كمبروسور ( 91 مللي ) 4 شنمبر- ينماك,2,مرسيدس - نقل
160,شميز 912 ( 100مللي ) - ينماك,9,نصر
161,شميز 913 ( 102مللي ) - ينماك,9,نصر
162,شميز اسكانيا ( 127 مللي ) - ينماك,3,اسكانيا - نقل
163,شميز اسكانيا DS113 - ينماك,3,اسكانيا - نقل
164,شميز افيكو ( 104 مللي ) بشفه - ينماك,1,افيكو
165,شميز افيكو ( 104 مللي ) بدون شفه - ينماك,1,افيكو
168,شميز افيكو ( 137 مللي ) عاده - ينماك,1,افيكو
169,شميز افيكو ديلي ( 93 مللي ) - ينماك,1,افيكو
170,شميز مان ( 125 مللي ) - ينماك,4,مان - نقل
171,شميز مان ( 128 مللي ) - ينماك,4,مان - نقل
172,شميز مرسيدس 1838 ( 125 مللي ) - ينماك,2,مرسيدس - نقل
173,شميز مرسيدس عاده اسود ( 125 مللي ) OM401 - ينماك,2,مرسيدس - نقل
174,شميز مرسيدس ( 128 مللي ) اسود - ينماك,2,مرسيدس - نقل
175,شميز مرسيدس ( 130 مللي ) - ينماك,2,مرسيدس - نقل
176,شميز مرسيدس غزاله كروم اصلي ( 128 مللي ) - ينماك,2,مرسيدس - نقل
177,ط.ب بالشميز والشنمبر اسكانيا ( 127 مللي ) - ينماك,3,اسكانيا - نقل
178,بستم بالشميز والشنبر اسكانيا 113مسلوب - ينماك,3,اسكانيا - نقل
179,عين شنبر كمبروسور افيكو( 82 مللي ) - ينماك,1,افيكو
180,عين شنبر كمبروسور افيكو ( 82.5 مللي ) - ينماك,1,افيكو
181,غويشه تعشيقه قلاب - TAS,2,مرسيدس - نقل
182,ترس ورده مرسيدس- TAS,34,مرسيدس TAS
183,ورده ترس مرشيدير نحاس مرسيدس - TAS,34,مرسيدس TAS
184,سوسته برميل فتيس مرسيدس نقل - TAS,2,مرسيدس - نقل
185,سوسته برميل فتيس مرسيدس نقل - TAS,2,مرسيدس - نقل
186,ترس مرشيدير 2016 مرسيدس- TAS,34,مرسيدس TAS
187,ترس درك نصر 19 سنه - TAS,9,نصر
188,ترس رابع نصر 24 سنه - تشيا,9,نصر
189,ترس نصر 24 سنه - تشيا,9,نصر
190,ترس رابع نصر - تشيا,9,نصر
191,عمود اداره نصر - KGM,9,نصر
192,وش غويشه درك نصر - TAS,9,نصر
193,غويشه ثاني ثالث نصر - تشيا,2,مرسيدس - نقل
194,غويشه فرمله اول ثاني نصر - تشيا,9,نصر
195,ترس فتيس نصر- TAS,9,نصر
196,طقم اصلاح قلاب مرسيدس- ايطال ريكامبي,34,مرسيدس TAS
197,برميل لقطه عاده مرسيدس نقل - TAS,2,مرسيدس - نقل
198,فوله فتيس 80 90مرسيدس نقل - TAS,2,مرسيدس - نقل
199,برميل 111 تاني تالت مرسيدس نقل - TAS,2,مرسيدس - نقل
200,مسمار لافيه مرسيدس نقل - TAS,2,مرسيدس - نقل
201,فوله صلب 80 90 مرسيدس نقل - TAS,2,مرسيدس - نقل
